,assists,clean_sheets,creativity,goals_scored,influence,kickoff_time,opponent_team,full,team,total_points,round
164,0,0,0.0,0,42.8,2019-12-07 15:00:00,Liverpool,Aaron Ramsdale,Bournemouth,3,16
165,0,1,0.0,0,47.8,2019-12-14 15:00:00,Chelsea,Aaron Ramsdale,Bournemouth,10,17
166,0,0,0.0,0,4.6,2019-12-21 15:00:00,Burnley,Aaron Ramsdale,Bournemouth,2,18
167,0,0,0.0,0,7.0,2019-12-26 15:00:00,Arsenal,Aaron Ramsdale,Bournemouth,2,19
168,0,0,0.0,0,28.2,2019-12-28 12:30:00,Brighton,Aaron Ramsdale,Bournemouth,2,20
169,0,0,0.0,0,28.8,2020-01-01 17:30:00,West Ham,Aaron Ramsdale,Bournemouth,1,21
170,0,0,0.0,0,0.0,2020-01-12 14:00:00,Watford,Aaron Ramsdale,Bournemouth,0,22
171,0,0,0.0,0,28.0,2020-01-18 15:00:00,Norwich,Aaron Ramsdale,Bournemouth,3,23
172,0,0,0.0,0,45.2,2020-01-21 19:30:00,Brighton,Aaron Ramsdale,Bournemouth,4,24
173,0,0,0.0,0,22.6,2020-02-01 15:00:00,Aston Villa,Aaron Ramsdale,Bournemouth,3,25
174,0,0,0.0,0,25.4,2020-02-09 14:00:00,Sheffield United,Aaron Ramsdale,Bournemouth,2,26
175,0,0,0.0,0,42.4,2020-02-22 15:00:00,Burnley,Aaron Ramsdale,Bournemouth,3,27
176,0,0,0.0,0,34.4,2020-02-29 15:00:00,Chelsea,Aaron Ramsdale,Bournemouth,2,28
177,0,0,0.0,0,34.2,2020-03-07 12:30:00,Liverpool,Aaron Ramsdale,Bournemouth,2,29
178,0,0,0.0,0,2.2,2020-06-20 18:45:00,Crystal Palace,Aaron Ramsdale,Bournemouth,1,30
179,0,0,0.0,0,11.4,2020-06-24 17:00:00,Wolves,Aaron Ramsdale,Bournemouth,2,31
180,0,0,0.0,0,19.0,2020-07-01 17:00:00,Newcastle United,Aaron Ramsdale,Bournemouth,1,32
181,0,0,0.0,0,30.8,2020-07-04 14:00:00,Man Utd,Aaron Ramsdale,Bournemouth,2,33
182,0,1,4.0,0,3.2,2020-07-09 17:00:00,Tottenham,Aaron Ramsdale,Bournemouth,6,34
183,0,0,0.0,0,28.4,2020-07-12 18:00:00,Leicester,Aaron Ramsdale,Bournemouth,3,35
184,0,0,0.0,0,19.2,2020-07-15 17:00:00,Man City,Aaron Ramsdale,Bournemouth,1,36
185,0,0,0.0,0,64.8,2020-07-19 13:00:00,Southampton,Aaron Ramsdale,Bournemouth,11,37
186,0,0,10.0,0,35.8,2020-07-26 15:00:00,Everton,Aaron Ramsdale,Bournemouth,3,38
187,0,1,16.1,0,30.4,2019-08-11 15:30:00,Chelsea,Aaron Wan-Bissaka,Man Utd,8,1
188,0,0,11.0,0,28.0,2019-08-19 19:00:00,Wolves,Aaron Wan-Bissaka,Man Utd,1,2
189,0,0,21.1,0,11.8,2019-08-24 14:00:00,Crystal Palace,Aaron Wan-Bissaka,Man Utd,0,3
190,0,0,13.2,0,27.0,2019-08-31 11:30:00,Southampton,Aaron Wan-Bissaka,Man Utd,2,4
191,0,1,12.4,0,14.2,2019-09-14 14:00:00,Leicester,Aaron Wan-Bissaka,Man Utd,6,5
192,0,0,2.4,0,18.8,2019-09-22 13:00:00,West Ham,Aaron Wan-Bissaka,Man Utd,1,6
193,0,0,0.0,0,0.0,2019-09-30 19:00:00,Arsenal,Aaron Wan-Bissaka,Man Utd,0,7
194,0,0,0.0,0,0.0,2019-10-06 15:30:00,Newcastle United,Aaron Wan-Bissaka,Man Utd,0,8
195,0,0,12.7,0,12.4,2019-10-20 15:30:00,Liverpool,Aaron Wan-Bissaka,Man Utd,2,9
196,0,0,4.2,0,36.0,2019-10-27 16:30:00,Norwich,Aaron Wan-Bissaka,Man Utd,1,10
197,0,0,2.8,0,17.2,2019-11-02 12:30:00,Bournemouth,Aaron Wan-Bissaka,Man Utd,2,11
198,0,0,12.2,0,23.0,2019-11-10 14:00:00,Brighton,Aaron Wan-Bissaka,Man Utd,2,12
199,0,0,5.2,0,12.4,2019-11-24 16:30:00,Sheffield United,Aaron Wan-Bissaka,Man Utd,0,13
200,0,0,16.7,0,13.0,2019-12-01 16:30:00,Aston Villa,Aaron Wan-Bissaka,Man Utd,1,14
201,0,0,2.6,0,15.0,2019-12-04 19:30:00,Tottenham,Aaron Wan-Bissaka,Man Utd,2,15
202,0,0,10.9,0,41.4,2019-12-07 17:30:00,Man City,Aaron Wan-Bissaka,Man Utd,3,16
203,0,0,3.8,0,22.8,2019-12-15 14:00:00,Everton,Aaron Wan-Bissaka,Man Utd,4,17
204,0,0,1.6,0,11.8,2019-12-22 14:00:00,Watford,Aaron Wan-Bissaka,Man Utd,1,18
205,1,0,22.9,0,35.6,2019-12-26 17:30:00,Newcastle United,Aaron Wan-Bissaka,Man Utd,6,19
206,0,0,0.0,0,0.0,2019-12-28 19:45:00,Burnley,Aaron Wan-Bissaka,Man Utd,0,20
207,0,0,6.3,0,14.8,2020-01-01 20:00:00,Arsenal,Aaron Wan-Bissaka,Man Utd,1,21
208,0,1,8.3,0,10.6,2020-01-11 15:00:00,Norwich,Aaron Wan-Bissaka,Man Utd,6,22
209,0,0,22.6,0,24.2,2020-01-19 16:30:00,Liverpool,Aaron Wan-Bissaka,Man Utd,1,23
210,0,0,53.2,0,29.6,2020-01-22 20:15:00,Burnley,Aaron Wan-Bissaka,Man Utd,1,24
211,0,1,32.8,0,34.0,2020-02-01 17:30:00,Wolves,Aaron Wan-Bissaka,Man Utd,9,25
212,1,1,15.0,0,45.4,2020-02-17 20:00:00,Chelsea,Aaron Wan-Bissaka,Man Utd,10,26
